frame_id,num_gt,num_detections,num_matched_gt,num_unmatched_gt,num_tp_dets,num_fp_dets
452,0,9,0,0,0,9
454,0,8,0,0,0,8
456,0,6,0,0,0,6
458,0,5,0,0,0,5
460,0,5,0,0,0,5
462,0,4,0,0,0,4
464,0,3,0,0,0,3
466,0,3,0,0,0,3
468,0,4,0,0,0,4
470,0,3,0,0,0,3
472,0,5,0,0,0,5
474,0,6,0,0,0,6
476,0,7,0,0,0,7
478,0,9,0,0,0,9
480,0,7,0,0,0,7
482,0,11,0,0,0,11
484,0,8,0,0,0,8
486,0,13,0,0,0,13
488,0,14,0,0,0,14
490,0,14,0,0,0,14
492,0,17,0,0,0,17
494,0,16,0,0,0,16
496,0,17,0,0,0,17
498,0,14,0,0,0,14
500,0,17,0,0,0,17
502,0,19,0,0,0,19
504,0,9,0,0,0,9
506,0,17,0,0,0,17
508,0,13,0,0,0,13
510,0,15,0,0,0,15
512,0,11,0,0,0,11
514,0,9,0,0,0,9
516,0,7,0,0,0,7
518,0,7,0,0,0,7
520,0,3,0,0,0,3
522,0,4,0,0,0,4
524,0,3,0,0,0,3
526,0,3,0,0,0,3
528,0,6,0,0,0,6
530,0,4,0,0,0,4
532,0,6,0,0,0,6
534,0,5,0,0,0,5
536,0,4,0,0,0,4
538,0,6,0,0,0,6
540,0,6,0,0,0,6
542,0,4,0,0,0,4
544,0,3,0,0,0,3
546,0,6,0,0,0,6
548,0,3,0,0,0,3
550,0,3,0,0,0,3
552,0,2,0,0,0,2
554,0,8,0,0,0,8
556,0,4,0,0,0,4
558,0,6,0,0,0,6
560,0,6,0,0,0,6
562,0,6,0,0,0,6
564,0,5,0,0,0,5
566,0,5,0,0,0,5
568,0,4,0,0,0,4
570,0,8,0,0,0,8
572,0,6,0,0,0,6
574,0,5,0,0,0,5
576,0,11,0,0,0,11
578,0,12,0,0,0,12
580,0,15,0,0,0,15
582,0,11,0,0,0,11
584,0,10,0,0,0,10
586,0,7,0,0,0,7
588,0,6,0,0,0,6
590,0,8,0,0,0,8
592,0,7,0,0,0,7
594,0,10,0,0,0,10
596,0,10,0,0,0,10
598,0,10,0,0,0,10
600,0,8,0,0,0,8
602,0,7,0,0,0,7
604,0,10,0,0,0,10
606,0,9,0,0,0,9
608,0,11,0,0,0,11
610,1,9,0,1,0,9
612,1,9,0,1,0,9
614,1,7,0,1,0,7
616,2,5,0,2,0,5
618,2,8,0,2,0,8
620,2,10,1,1,1,9
622,2,6,0,2,0,6
624,2,7,1,1,1,6
626,2,7,2,0,2,5
628,2,8,2,0,2,6
630,2,9,2,0,2,7
632,2,7,2,0,2,5
634,2,9,0,2,0,9
636,2,9,1,1,1,8
638,2,9,2,0,2,7
640,2,6,1,1,1,5
642,2,6,0,2,0,6
644,2,4,2,0,2,2
646,2,9,0,2,0,9
648,2,8,0,2,0,8
650,2,8,1,1,1,7
652,2,5,0,2,0,5
654,2,7,2,0,2,5
656,2,4,2,0,2,2
658,2,5,2,0,2,3
660,2,5,2,0,2,3
662,2,3,2,0,2,1
664,2,4,2,0,2,2
666,2,2,2,0,2,0
668,2,2,2,0,2,0
670,2,2,2,0,2,0
672,2,2,1,1,1,1
674,2,2,1,1,1,1
676,2,2,1,1,1,1
678,2,3,1,1,1,2
680,2,3,1,1,1,2
682,2,3,1,1,1,2
684,2,3,1,1,1,2
686,2,4,2,0,2,2
688,2,4,1,1,1,3
690,2,5,2,0,2,3
692,2,4,1,1,1,3
694,2,4,2,0,2,2
696,2,5,2,0,2,3
698,2,4,1,1,1,3
700,2,4,2,0,2,2
702,2,4,2,0,2,2
704,2,4,2,0,2,2
706,2,5,2,0,2,3
708,2,4,2,0,2,2
710,2,4,2,0,2,2
712,2,4,2,0,2,2
714,2,5,2,0,2,3
716,2,5,2,0,2,3
718,2,4,2,0,2,2
720,2,4,2,0,2,2
722,2,6,2,0,2,4
724,2,4,2,0,2,2
726,2,4,2,0,2,2
728,2,3,2,0,2,1
730,2,4,1,1,1,3
732,2,5,2,0,2,3
734,2,4,2,0,2,2
736,2,5,2,0,2,3
738,2,4,2,0,2,2
740,2,6,0,2,0,6
742,2,7,1,1,1,6
744,2,5,2,0,2,3
746,2,4,1,1,1,3
748,2,4,2,0,2,2
750,2,4,2,0,2,2
752,2,3,1,1,1,2
754,2,3,1,1,1,2
756,2,3,1,1,1,2
758,2,3,1,1,1,2
760,2,6,2,0,2,4
762,2,6,2,0,2,4
764,2,3,2,0,2,1
766,2,5,1,1,1,4
768,2,8,1,1,1,7
770,2,4,1,1,1,3
772,2,5,1,1,1,4
774,2,3,1,1,1,2
776,2,3,2,0,2,1
778,2,3,2,0,2,1
780,2,5,2,0,2,3
782,2,6,2,0,2,4
784,2,8,2,0,2,6
786,2,8,1,1,1,7
788,2,7,2,0,2,5
790,2,4,2,0,2,2
792,2,7,2,0,2,5
794,2,7,2,0,2,5
796,2,4,2,0,2,2
798,2,2,2,0,2,0
800,2,3,2,0,2,1
802,2,4,2,0,2,2
804,2,3,1,1,1,2
806,2,4,2,0,2,2
808,2,4,2,0,2,2
810,2,4,2,0,2,2
812,2,4,2,0,2,2
814,2,4,2,0,2,2
816,2,6,2,0,2,4
818,2,4,2,0,2,2
820,2,6,2,0,2,4
822,2,5,2,0,2,3
824,2,6,2,0,2,4
826,2,4,2,0,2,2
828,2,5,1,1,1,4
830,2,4,1,1,1,3
832,2,2,1,1,1,1
834,2,2,1,1,1,1
836,2,3,1,1,1,2
838,2,2,2,0,2,0
840,2,2,2,0,2,0
842,2,3,1,1,1,2
844,2,3,2,0,2,1
846,2,2,2,0,2,0
848,2,2,2,0,2,0
850,2,2,2,0,2,0
852,2,2,2,0,2,0
854,2,2,2,0,2,0
856,2,2,2,0,2,0
858,2,2,2,0,2,0
860,2,4,2,0,2,2
862,2,2,2,0,2,0
864,2,2,2,0,2,0
866,2,3,1,1,1,2
868,2,2,1,1,1,1
870,2,4,1,1,1,3
872,2,2,1,1,1,1
874,2,2,2,0,2,0
876,2,3,2,0,2,1
878,2,2,1,1,1,1
880,2,5,2,0,2,3
882,2,4,2,0,2,2
884,2,4,1,1,1,3
886,2,3,2,0,2,1
888,2,4,1,1,1,3
890,2,6,2,0,2,4
892,2,5,2,0,2,3
894,2,4,2,0,2,2
896,2,4,2,0,2,2
898,2,4,2,0,2,2
900,2,3,2,0,2,1
902,2,3,2,0,2,1
904,2,3,2,0,2,1
906,2,2,2,0,2,0
908,2,4,2,0,2,2
910,2,3,1,1,1,2
912,2,4,1,1,1,3
914,2,3,1,1,1,2
916,2,5,1,1,1,4
918,2,6,1,1,1,5
920,2,3,2,0,2,1
922,2,3,2,0,2,1
924,2,4,1,1,1,3
926,2,5,1,1,1,4
928,2,3,1,1,1,2
